brand,model,ev_description
Abarth,500e Convertible,"The Abarth 500e Convertible is an electric vehicle in the B - Compact segment. It has a 37.8 kWh Lithium-ion battery that provides a range of approximately 225.0 km. The top speed is 155.0 km/h with 0-100 acceleration in 7.0 seconds. It supports DC fast charging at up to 67.0 kW via CCS port. It offers 185.0 liters of cargo space, seats 4 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Abarth,500e Hatchback,"The Abarth 500e Hatchback is an electric vehicle in the B - Compact segment. It has a 37.8 kWh Lithium-ion battery that provides a range of approximately 225.0 km. The top speed is 155.0 km/h with 0-100 acceleration in 7.0 seconds. It supports DC fast charging at up to 67.0 kW via CCS port. It offers 185.0 liters of cargo space, seats 4 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Abarth,600e Scorpionissima,"The Abarth 600e Scorpionissima is an electric vehicle in the JB - Compact segment. It has a 50.8 kWh Lithium-ion battery that provides a range of approximately 280.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 5.9 seconds. It supports DC fast charging at up to 79.0 kW via CCS port. It offers 360.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Abarth,600e Turismo,"The Abarth 600e Turismo is an electric vehicle in the JB - Compact segment. It has a 50.8 kWh Lithium-ion battery that provides a range of approximately 280.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 6.2 seconds. It supports DC fast charging at up to 79.0 kW via CCS port. It offers 360.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Aiways,U5,"The Aiways U5 is an electric vehicle in the JC - Medium segment. It has a 60.0 kWh Lithium-ion battery that provides a range of approximately 315.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 7.5 seconds. It supports DC fast charging at up to 78.0 kW via CCS port. It offers 496.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Aiways,U6,"The Aiways U6 is an electric vehicle in the JC - Medium segment. It has a 60.0 kWh Lithium-ion battery that provides a range of approximately 350.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.0 seconds. It supports DC fast charging at up to 78.0 kW via CCS port. It offers 472.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Alfa,Romeo Junior Elettrica 54 kWh,"The Alfa Romeo Junior Elettrica 54 kWh is an electric vehicle in the JB - Compact segment. It has a 50.8 kWh Lithium-ion battery that provides a range of approximately 320.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 9.0 seconds. It supports DC fast charging at up to 85.0 kW via CCS port. It offers 400.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Alfa,Romeo Junior Elettrica 54 kWh Veloce,"The Alfa Romeo Junior Elettrica 54 kWh Veloce is an electric vehicle in the JB - Compact segment. It has a 50.8 kWh Lithium-ion battery that provides a range of approximately 310.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 6.0 seconds. It supports DC fast charging at up to 85.0 kW via CCS port. It offers 400.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Alpine,A290 Electric 180 hp,"The Alpine A290 Electric 180 hp is an electric vehicle in the B - Compact segment. It has a 52.0 kWh Lithium-ion battery that provides a range of approximately 310.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.4 seconds. It supports DC fast charging at up to 70.0 kW via CCS port. It offers 326.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Alpine,A290 Electric 220 hp,"The Alpine A290 Electric 220 hp is an electric vehicle in the B - Compact segment. It has a 52.0 kWh Lithium-ion battery that provides a range of approximately 305.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 6.4 seconds. It supports DC fast charging at up to 70.0 kW via CCS port. It offers 326.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
